institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
IDFC First Bank,Self-employed,600,600,CIBIL 600–649,10.25%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
IDFC First Bank,Salaried,625,622,CIBIL 600–649,9.80%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
IDFC First Bank,Self-employed,625,622,CIBIL 600–649,10.05%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
IDFC First Bank,Salaried,675,677,CIBIL below 700,9.35%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
IDFC First Bank,Self-employed,675,677,CIBIL below 700,9.60%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
IDFC First Bank,Salaried,725,737,CIBIL 700–749,8.70%,HDFC Bank,7.80%,SBI,7.85%,Axis Bank,7.95%
IDFC First Bank,Self-employed,725,737,CIBIL 700–749,8.90%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
IDFC First Bank,Salaried,775,778,CIBIL 750–799,8.05%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
IDFC First Bank,Self-employed,775,778,CIBIL 750–799,8.20%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
IDFC First Bank,Salaried,825,839,CIBIL 800+,7.75%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
IDFC First Bank,Self-employed,825,839,CIBIL 800+,7.90%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
IDFC First Bank,Salaried,790,790,CIBIL 750–799,7.95%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
IDFC First Bank,Self-employed,790,790,CIBIL 750–799,8.10%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
IDFC First Bank,Salaried,850,850,CIBIL 800+,7.75%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
IDFC First Bank,Self-employed,850,850,CIBIL 800+,7.90%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Yes Bank,Salaried,600,600,CIBIL 600–649,10.60%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
Yes Bank,Self-employed,600,600,CIBIL 600–649,10.75%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
Yes Bank,Salaried,625,622,CIBIL 600–649,10.45%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
Yes Bank,Self-employed,625,622,CIBIL 600–649,10.60%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
Yes Bank,Salaried,675,677,CIBIL below 700,10.15%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
Yes Bank,Self-employed,675,677,CIBIL below 700,10.30%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
Yes Bank,Salaried,725,737,CIBIL 700–749,9.65%,HDFC Bank,7.80%,SBI,7.85%,Axis Bank,7.95%
Yes Bank,Self-employed,725,737,CIBIL 700–749,9.80%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
Yes Bank,Salaried,775,778,CIBIL 750–799,9.20%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
Yes Bank,Self-employed,775,778,CIBIL 750–799,9.35%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
Yes Bank,Salaried,825,839,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,825,839,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Yes Bank,Salaried,790,790,CIBIL 750–799,9.10%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
Yes Bank,Self-employed,790,790,CIBIL 750–799,9.25%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
Yes Bank,Salaried,850,850,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,850,850,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
RBL Bank,Salaried,600,600,CIBIL 600–649,9.80%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
RBL Bank,Self-employed,600,600,CIBIL 600–649,9.95%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
RBL Bank,Salaried,625,622,CIBIL 600–649,9.65%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
RBL Bank,Self-employed,625,622,CIBIL 600–649,9.80%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
RBL Bank,Salaried,675,677,CIBIL below 700,9.35%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
RBL Bank,Self-employed,675,677,CIBIL below 700,9.50%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
